Timestamp,NAME ,CHOOSE PRECEDENCE OF ALLOCATION,PROJECT PRIORITY  [SOCIAL MEDIA APP],PROJECT PRIORITY  [GEN AI FOR STORIES],PROJECT PRIORITY  [CODE VULNERABILITY],PROJECT PRIORITY  [CODE OPTIMIZATION],PROJECT PRIORITY  [CODE REVIEW ASSISTANT],ROLE PRIORITY [ML],ROLE PRIORITY [FRONTEND],ROLE PRIORITY [BACKEND / APPDEV],ROLE PRIORITY [CYSEC/ALGO],FINAL CHECK BEFORE SUBMISSION ,PROJECT_ROLE_PAIR
13-05-2024 20.19,A,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, FRONTEND"
13-05-2024 20.20,B,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, ML"
13-05-2024 20.20,C,PROJECT,2,1,3,4,5,3,2,1,4,YUP GOOD TO GO !!!!,"GEN AI FOR STORIES, BACKEND / APPDEV"
13-05-2024 20.21,D,PROJECT,1,3,5,4,2,2,3,1,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, BACKEND / APPDEV"
13-05-2024 20.22,E,PROJECT,5,4,3,2,1,1,2,3,4,YUP GOOD TO GO !!!!,"CODE REVIEW ASSISTANT, ML"
13-05-2024 20.22,F,ROLE,1,3,2,4,5,3,2,4,1,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, CYSEC/ALGO"
13-05-2024 20.19,8,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, FRONTEND"
13-05-2024 20.19,9,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, FRONTEND"
13-05-2024 20.19,10,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, FRONTEND"
13-05-2024 20.19,11,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, FRONTEND"
13-05-2024 20.19,12,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, ML"
13-05-2024 20.19,13,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, ML"
13-05-2024 20.19,14,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, BACKEND / APPDEV"
13-05-2024 20.19,15,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, BACKEND / APPDEV"
13-05-2024 20.19,16,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, BACKEND / APPDEV"
13-05-2024 20.19,17,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, BACKEND / APPDEV"
13-05-2024 20.19,18,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"SOCIAL MEDIA APP, CYSEC/ALGO"
13-05-2024 20.19,19,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"GEN AI FOR STORIES, FRONTEND"
13-05-2024 20.19,20,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"GEN AI FOR STORIES, FRONTEND"
13-05-2024 20.19,21,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"GEN AI FOR STORIES, ML"
13-05-2024 20.19,22,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"GEN AI FOR STORIES, ML"
13-05-2024 20.19,23,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, FRONTEND"
13-05-2024 20.19,24,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, FRONTEND"
13-05-2024 20.19,25,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, ML"
13-05-2024 20.19,26,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, BACKEND / APPDEV"
13-05-2024 20.19,27,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, BACKEND / APPDEV"
13-05-2024 20.19,28,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, CYSEC/ALGO"
13-05-2024 20.19,29,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, CYSEC/ALGO"
13-05-2024 20.19,30,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, CYSEC/ALGO"
13-05-2024 20.19,31,PROJECT,1,2,3,4,5,2,1,3,4,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, CYSEC/ALGO"
13-05-2024 20.20,32,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE OPTIMIZATION, ML"
13-05-2024 20.20,33,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE REVIEW ASSISTANT, BACKEND / APPDEV"
13-05-2024 20.20,34,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE OPTIMIZATION, BACKEND / APPDEV"
13-05-2024 20.20,35,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE REVIEW ASSISTANT, CYSEC/ALGO"
13-05-2024 20.20,36,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE REVIEW ASSISTANT, CYSEC/ALGO"
13-05-2024 20.20,37,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE OPTIMIZATION, CYSEC/ALGO"
13-05-2024 20.20,38,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE OPTIMIZATION, CYSEC/ALGO"
13-05-2024 20.20,39,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE VULNERABILITY, CYSEC/ALGO"
13-05-2024 20.20,40,ROLE,1,2,5,4,3,1,4,2,3,YUP GOOD TO GO !!!!,"CODE REVIEW ASSISTANT, FRONTEND"
